Name,Team,ERA,G,W,L,SV,HLD,WPCT,IP,H,BB,HBP,SO,R,ER,WHIP,SALARY
페디,NC,2.0,30,20,6,0,0,0.769,180 1/3,137,35,4,209,46,40,0.95,104000
안우진,키움,2.39,24,9,7,0,0,0.563,150 2/3,121,38,1,164,44,40,1.06,35000
뷰캐넌,삼성,2.54,30,12,8,0,0,0.6,188,174,43,6,139,71,53,1.15,143000
후라도,키움,2.65,30,11,8,0,0,0.579,183 2/3,164,41,9,147,64,54,1.12,110500
알칸타라,두산,2.67,31,13,9,0,0,0.591,192,171,35,5,162,67,57,1.07,65000
고영표,KT,2.78,28,12,7,0,0,0.632,174 2/3,181,19,9,114,57,54,1.15,43000
원태인,삼성,3.24,26,7,7,0,0,0.5,150,157,34,6,102,61,54,1.27,35000
반즈,롯데,3.28,30,11,10,0,0,0.524,170 1/3,171,56,15,147,68,62,1.33,110500
임찬규,LG,3.42,30,14,3,0,0,0.824,144 2/3,142,54,5,103,63,55,1.35,17000
박세웅,롯데,3.45,27,9,7,0,0,0.563,154,145,59,4,129,70,59,1.32,150000
김광현,SSG,3.53,30,9,8,0,0,0.529,168 1/3,163,70,2,119,75,66,1.38,100000
벤자민,KT,3.54,29,15,6,0,0,0.714,160,149,45,3,157,79,63,1.21,130000
양현종,KIA,3.58,29,9,11,0,0,0.45,171,181,48,1,133,78,68,1.34,50000
페냐,한화,3.6,32,11,11,0,0,0.5,177 1/3,149,59,18,147,82,71,1.17,71500
켈리,LG,3.83,30,10,7,0,0,0.588,178 2/3,183,39,6,129,87,76,1.24,136500
최원태,LG,4.3,26,9,7,0,0,0.563,146 2/3,149,46,7,118,73,70,1.33,35000
오원석,SSG,5.23,28,8,10,0,0,0.444,144 2/3,158,69,9,88,92,84,1.57,14000
